"","Nível Territorial (Código)","Nível Territorial","Unidade de Medida (Código)","Unidade de Medida","Valor","Unidade da Federação (Código)","Unidade da Federação","Ano (Código)","Ano","Variável (Código)","Variável","Sexo (Código)","Sexo","Idade (Código)","Idade","Forma de declaração da idade (Código)","Forma de declaração da idade"
"62","3","Unidade da Federação","45","Pessoas",22984,"11","Rondônia","2022","2022","93","População residente","6794","Total","6562","5 anos","113635","Total"
"63","3","Unidade da Federação","45","Pessoas",18572,"11","Rondônia","2022","2022","93","População residente","6794","Total","6562","5 anos","6555","Data de nascimento"
"64","3","Unidade da Federação","45","Pessoas",4412,"11","Rondônia","2022","2022","93","População residente","6794","Total","6562","5 anos","6556","Idade presumida"
"65","3","Unidade da Federação","45","Pessoas",23773,"11","Rondônia","2022","2022","93","População residente","6794","Total","6563","6 anos","113635","Total"
"66","3","Unidade da Federação","45","Pessoas",19329,"11","Rondônia","2022","2022","93","População residente","6794","Total","6563","6 anos","6555","Data de nascimento"
"67","3","Unidade da Federação","45","Pessoas",4444,"11","Rondônia","2022","2022","93","População residente","6794","Total","6563","6 anos","6556","Idade presumida"
"68","3","Unidade da Federação","45","Pessoas",23863,"11","Rondônia","2022","2022","93","População residente","6794","Total","6564","7 anos","113635","Total"
"69","3","Unidade da Federação","45","Pessoas",19403,"11","Rondônia","2022","2022","93","População residente","6794","Total","6564","7 anos","6555","Data de nascimento"
"70","3","Unidade da Federação","45","Pessoas",4460,"11","Rondônia","2022","2022","93","População residente","6794","Total","6564","7 anos","6556","Idade presumida"
"71","3","Unidade da Federação","45","Pessoas",23410,"11","Rondônia","2022","2022","93","População residente","6794","Total","6565","8 anos","113635","Total"
"72","3","Unidade da Federação","45","Pessoas",18840,"11","Rondônia","2022","2022","93","População residente","6794","Total","6565","8 anos","6555","Data de nascimento"
"73","3","Unidade da Federação","45","Pessoas",4570,"11","Rondônia","2022","2022","93","População residente","6794","Total","6565","8 anos","6556","Idade presumida"
"74","3","Unidade da Federação","45","Pessoas",23506,"11","Rondônia","2022","2022","93","População residente","6794","Total","6566","9 anos","113635","Total"
"75","3","Unidade da Federação","45","Pessoas",18910,"11","Rondônia","2022","2022","93","População residente","6794","Total","6566","9 anos","6555","Data de nascimento"
"76","3","Unidade da Federação","45","Pessoas",4596,"11","Rondônia","2022","2022","93","População residente","6794","Total","6566","9 anos","6556","Idade presumida"
"77","3","Unidade da Federação","45","Pessoas",117166,"11","Rondônia","2022","2022","93","População residente","6794","Total","93085","10 a 14 anos","113635","Total"
"78","3","Unidade da Federação","45","Pessoas",95458,"11","Rondônia","2022","2022","93","População residente","6794","Total","93085","10 a 14 anos","6555","Data de nascimento"
"79","3","Unidade da Federação","45","Pessoas",21708,"11","Rondônia","2022","2022","93","População residente","6794","Total","93085","10 a 14 anos","6556","Idade presumida"
