"code_muni";"dom_resp_h_branca";"dom_resp_h_preta";"dom_resp_h_amarela";"dom_resp_h_parda";"dom_resp_h_indigena";"dom_resp_m_branca";"dom_resp_m_preta";"dom_resp_m_amarela";"dom_resp_m_parda";"dom_resp_m_indigena"
"2615003";1656;272;9;1870;8;2362;305;16;2407;4
"2615102";384;87;1;609;NA;348;80;3;641;3
"2615201";379;132;1;887;1;391;148;4;894;3
"2615300";2266;926;9;3871;1;2784;1110;14;5219;5
"2615409";2280;534;11;3383;15;2960;541;17;4460;19
"2615508";492;394;1;1382;1;483;462;1;1449;NA
"2615607";1000;461;11;3060;11;1137;404;5;3812;5
"2615706";903;263;6;1535;14;835;256;6;1444;14
"2615805";876;311;5;2510;297;875;314;7;2450;276
"2615904";537;124;3;745;3;539;119;5;880;1
"2616001";997;199;17;1462;4;1051;222;15;1827;7
"2616100";257;147;8;979;5;227;133;10;1186;7
"2616183";504;67;NA;673;1;638;65;NA;708;NA
"2616209";1475;256;6;2125;10;1537;269;5;2189;2
"2616308";1534;684;NA;2785;4;1184;558;4;2322;2
"2616407";7604;2863;21;11990;35;8447;2971;67;14308;39
"2616506";454;181;1;1140;2;545;211;4;1413;1
"2700102";446;228;3;2104;46;337;225;2;2285;36
"2700201";579;277;4;1152;2;802;317;11;1638;1
"2700300";12014;3761;56;22302;112;11553;3269;67;24661;84
"2700409";1328;939;12;3325;2;1449;921;30;3958;6
"2700508";562;361;NA;1453;4;611;340;3;1907;NA
"2700607";353;199;1;813;2;279;164;5;723;NA
"2700706";638;285;NA;1595;6;637;261;1;1705;1
"2700805";214;100;NA;453;2;189;119;1;594;6
"2700904";229;110;NA;605;NA;181;88;NA;632;NA
"2701001";978;361;7;2134;2;851;371;9;2310;3
"2701100";305;188;5;946;2;366;238;8;1104;1
"2701209";552;245;1;1107;4;441;220;NA;1013;3
"2701308";620;317;1;1559;3;592;290;3;1572;5
"2701357";197;92;2;468;1;320;139;1;872;NA
"2701407";1199;784;4;2932;4;1164;690;13;3516;3
"2701506";367;194;NA;1266;1;190;112;1;524;1
"2701605";690;192;NA;1656;3;585;187;2;1739;NA
"2701704";582;405;7;1388;3;563;352;3;1394;3
"2701803";313;168;NA;830;7;274;188;NA;984;4
"2701902";304;68;NA;509;NA;381;78;NA;602;NA
"2702009";674;181;NA;1038;NA;536;151;NA;1029;NA
"2702108";684;227;4;1553;5;766;198;5;1731;6
"2702207";162;115;NA;671;2;183;103;1;624;NA
"2702306";2193;1242;26;5035;13;1906;1014;37;4936;16
"2702355";907;306;3;2155;6;1134;419;2;3162;1
"2702405";1841;700;5;5140;67;2034;725;14;6510;96
"2702504";491;141;1;1139;4;377;79;3;1027;3
"2702553";687;198;2;1837;5;702;194;3;1909;4
"2702603";1170;276;NA;2499;54;868;216;NA;2267;48
"2702702";129;95;1;389;NA;129;131;NA;453;1
"2702801";379;247;2;845;NA;376;221;2;1029;2
"2702900";1269;506;5;4341;4;946;336;5;3632;6
"2703007";749;215;8;1352;3;723;231;12;1290;9
"2703106";1181;294;1;2759;8;1082;279;1;2813;7
"2703205";953;539;1;2906;3;612;322;2;1757;2
"2703304";456;140;6;1390;79;483;153;1;1970;116
"2703403";98;116;NA;432;NA;168;187;NA;633;NA
"2703502";184;95;8;453;4;261;142;19;589;NA
"2703601";286;254;1;809;NA;332;257;NA;940;NA
"2703700";199;66;NA;491;NA;187;82;NA;572;NA
"2703759";455;207;5;912;1;402;168;2;839;1
"2703809";604;350;4;1471;227;592;391;5;1453;240
"2703908";167;48;1;476;2;165;49;7;453;1
"2704005";1194;440;4;2607;3;992;349;8;2434;5
"2704104";795;309;2;2046;7;635;257;7;1886;1
"2704203";1155;398;8;2258;4;1177;342;23;2688;6
